Figure 3(a),,confidence interval,,,,,,,,,
distance,coef,l,u,,,,,,,,
100km,-0.1121898,-0.1943479,-0.0300317,,,,,,,,
200km,0.027344,-0.0985877,0.1532756,,,,,,,,
300km,-0.0001452,-0.1741075,0.173817,,,,,,,,
400km,-0.2112236,-0.3010058,-0.1214415,,,,,,,,
500km,-0.2780928,-0.3417256,-0.2144599,,,,,,,,
600km,-0.2551474,-0.3256314,-0.1846633,,,,,,,,
700km,-0.2220013,-0.3294337,-0.1145689,,,,,,,,
800km,-0.2980544,-0.3405743,-0.2555345,,,,,,,,
900km,-0.2500097,-0.3207668,-0.1792526,,,,,,,,
1000km,-0.2545762,-0.3142354,-0.194917,,,,,,,,
1100km,-0.3024603,-0.3650981,-0.2398225,,,,,,,,
1200km,-0.3406276,-0.3762727,-0.3049824,,,,,,,,
1300km,-0.3225839,-0.3751353,-0.2700325,,,,,,,,
>1300km,-0.3009527,-0.368645,-0.2332604,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Figure 3(b),,confidence interval,,,,,,,,,
distance,coef,l,u,,,,,,,,
100km,0.0000,0.0000,0.0000,,,,,,,,
200km,0.0000,0.0000,0.0000,,,,,,,,
300km,0.0000,0.0000,0.0001,,,,,,,,
400km,0.0000,0.0000,0.0000,,,,,,,,
500km,0.0000,0.0000,0.0000,,,,,,,,
600km,0.0000,0.0000,0.0000,,,,,,,,
700km,0.0000,0.0000,0.0000,,,,,,,,
800km,0.0000,0.0000,0.0000,,,,,,,,
900km,0.0000,0.0000,0.0000,,,,,,,,
1000km,0.0000,0.0000,0.0000,,,,,,,,
1100km,0.0001,-0.0001,0.0002,,,,,,,,
1200km,0.0000,0.0000,0.0001,,,,,,,,
1300km,0.0000,0.0000,0.0000,,,,,,,,
>1300km,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Figure 3(c),,confidence interval,,,,,,,,,
distance,coef,l,u,,,,,,,,
100km,0.0201001,-0.0118223,0.0520225,,,,,,,,
200km,0.0177595,-0.0019495,0.0374685,,,,,,,,
300km,-0.0013595,-0.0108305,0.0081114,,,,,,,,
400km,0.0116492,-0.0080144,0.0313129,,,,,,,,
500km,0.0221099,0.0010052,0.0432146,,,,,,,,
600km,0.0134337,-0.0024596,0.029327,,,,,,,,
700km,0.0361562,-0.0140898,0.0864022,,,,,,,,
800km,0.0323189,0.0099912,0.0546466,,,,,,,,
900km,0.0466489,-0.0016602,0.0949581,,,,,,,,
1000km,0.0322833,0.0132569,0.0513096,,,,,,,,
1100km,0.0269965,-0.004124,0.058117,,,,,,,,
1200km,0.0626776,-0.006726,0.1320812,,,,,,,,
1300km,0.0097917,-0.0091263,0.0287098,,,,,,,,
>1300km,0.0707454,-0.0341729,0.1756636,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Figure 3(d),,confidence interval,,,,,,,,,
distance,coef,l,u,,,,,,,,
100km,0.0011364,-0.0031125,0.0053853,,,,,,,,
200km,0.0038394,-0.0000937,0.0077725,,,,,,,,
300km,-0.000177,-0.0017653,0.0014114,,,,,,,,
400km,0.0020344,-0.0006868,0.0047556,,,,,,,,
500km,0.0035364,0.0005199,0.0065529,,,,,,,,
600km,0.0019857,-0.0009437,0.0049152,,,,,,,,
700km,0.001278,-0.0014403,0.0039963,,,,,,,,
800km,0.0049228,0.0018924,0.0079531,,,,,,,,
900km,0.005477,0.0019202,0.0090337,,,,,,,,
1000km,0.0077113,0.0039885,0.011434,,,,,,,,
1100km,0.0055314,0.0015047,0.0095582,,,,,,,,
1200km,0.0127935,0.0044434,0.0211435,,,,,,,,
1300km,0.0042411,0.0005487,0.0079335,,,,,,,,
>1300km,0.0104887,-0.0002743,0.0212517,,,,,,,,
